id,name,sectype,currency,exchange,minvol,maxvol,meanvol,medianvol
398,AMPY,,,,0.209729,3.42761,0.771039,0.548261
399,AMRB,,,,0.0722793,1.32707,0.356817,0.295458
400,AMRC,,,,0.153228,1.36754,0.449569,0.415715
401,AMRH,,,,1.4597e-07,12.4041,2.55575,1.34486
402,AMRHW,,,,,,,
403,AMRK,,,,,,,
404,AMRN,,,,0.201631,9.96568,0.907137,0.68872
405,AMRS,,,,0.224695,11.9266,0.977013,0.779187
406,AMRX,,,,0.225528,1.82115,0.798103,0.708962
407,AMS,,,,0.116686,2.55032,0.619527,0.525529
408,AMSC,,,,0.252965,9.66442,0.74195,0.628849
409,AMSF,,,,0.106758,1.06705,0.313637,0.262229
410,AMST,,,,0.565637,0.748272,0.643385,0.681774
411,AMSWA,,,,0.134194,1.8719,0.505965,0.394543
412,AMT,,,,0.081023,1.89787,0.376625,0.260566
413,AMTB,,,,0.194767,6.14842,0.676207,0.539391
414,AMTBB,,,,0.275177,12.0914,1.04833,0.622366
415,AMTI,,,,0.390015,1.00189,0.627511,0.619672
416,AMTR,,,,0.46315,0.468477,0.465001,0.464189
417,AMTX,,,,0.363566,2.96137,1.108,1.0126
418,AMUB,,,,0.19816,1.59013,0.616942,0.526792
419,AMWD,,,,0.126152,2.13935,0.479387,0.422952
420,AMWL,,,,0.791886,1.05847,0.91467,0.876167
421,AMX,,,,0.117324,3.24075,0.35954,0.299898
422,AMYT,,,,0.0,1.42679,0.450462,0.350685
423,AMZA,,,,0.101153,10.051,0.554881,0.288866
424,AMZN,,,,0.0834927,3.39782,0.518884,0.390601
425,AN,,,,0.0941524,1.65868,0.363951,0.31563
426,ANAB,,,,0.314384,3.75107,0.763128,0.615033
427,ANAT,,,,0.0744783,1.39826,0.261797,0.211066
428,ANCN,,,,0.42291,1.89992,1.09031,1.0985
429,ANDA,,,,0.0255823,0.147779,0.0746969,0.0775806
430,ANDAR,,,,0.507696,3.22245,1.84894,1.84173
431,ANDAW,,,,,,,
432,ANDE,,,,0.058193,3.14627,0.390009,0.331094
433,ANET,,,,0.145363,0.941501,0.417383,0.391009
434,ANEW,,,,0.165608,0.454709,0.371497,0.452928
435,ANF,,,,0.149083,1.75515,0.517282,0.456917
436,ANGI,,,,0.229462,1.51755,0.54965,0.491889
437,ANGL,,,,0.0234256,0.809749,0.0927426,0.0672955
438,ANGO,,,,0.105764,1.19306,0.394601,0.34368
439,ANH,,,,0.0824475,2.53089,0.315945,0.236242
440,ANH-A,,,,,,,
441,ANH-B,,,,,,,
442,ANH-C,,,,,,,
443,ANIK,,,,0.114321,3.20876,0.603144,0.532402
444,ANIP,,,,0.150286,7.67838,0.722597,0.589958
445,ANIX,,,,0.263052,3.28561,1.03828,0.969268
446,ANNX,,,,0.427022,0.901951,0.709328,0.741619
447,ANPC,,,,,,,
448,ANSS,,,,0.0777612,2.89157,0.398671,0.328762
449,ANTE,,,,0.0792641,6.54541,0.75645,0.639633
450,ANTM,,,,0.0999602,2.027,0.299897,0.255243
451,ANVS,,,,0.505537,1.70663,1.1183,1.14209
452,ANY,,,,0.411196,13.8226,1.56357,1.00328
453,AOA,,,,0.0320803,0.596835,0.143415,0.119348
454,AOD,,,,0.0620071,1.44124,0.223507,0.150774
455,AOK,,,,0.0211386,0.618166,0.0674272,0.0481137
456,AOM,,,,0.026116,1.70604,0.114712,0.0607029
457,AON,,,,0.0667523,1.32109,0.267132,0.210236
458,AON.U,,,,,,,
459,AON.W,,,,,,,
460,AONE,,,,0.124675,0.199695,0.144625,0.133741
461,AOR,,,,0.026276,0.817435,0.102818,0.084688
462,AOS,,,,0.0917026,2.92503,0.344747,0.279759
463,AOSL,,,,0.088466,1.16843,0.42773,0.373034
464,AOUT,,,,0.357784,1.07469,0.550733,0.509385
465,AP,,,,0.0662255,1.90184,0.428579,0.361809
466,AP.W,,,,,,,
467,APA,,,,0.117363,2.76945,0.398715,0.327735
468,APAM,,,,0.137142,1.21262,0.312759,0.28357
469,APD,,,,0.0595813,1.94533,0.26563,0.221182
470,APDN,,,,0.289639,16.6231,1.2377,0.808211
471,APEI,,,,0.13818,1.28511,0.443081,0.393448
472,APEN,,,,0.29462,6.95249,1.02205,0.7615
473,APG,,,,0.287173,0.507888,0.38578,0.382094
474,APH,,,,0.0502339,3.03855,0.339661,0.268664
475,APHA,,,,0.280112,1.73053,0.784573,0.714226
476,API,,,,0.524217,1.11052,0.771861,0.852484
477,APLE,,,,0.0855779,1.83356,0.276356,0.171821
478,APLS,,,,,,,
479,APLT,,,,0.565949,1.94811,0.957071,0.847609
480,APM,,,,0.115244,4.5018,1.05659,0.700325
481,APO,,,,0.143395,1.63366,0.342084,0.30749
482,APO-A,,,,,,,
483,APO-B,,,,,,,
484,APOG,,,,0.129251,2.14374,0.476808,0.409916
485,APOP,,,,0.183016,7.85839,1.12422,0.747295
486,APOPW,,,,,,,
487,APPF,,,,0.138218,1.54295,0.404935,0.344975
488,APPN,,,,0.275707,1.4475,0.624834,0.576374
489,APPS,,,,0.368757,1.40973,0.738937,0.673435
490,APRE,,,,0.482939,1.28597,0.820202,0.809621
491,APRN,,,,0.380075,4.37905,1.00138,0.847422
492,APS.U,,,,,,,
493,APS.W,,,,,,,
494,APSG,,,,,,,
495,APT,,,,0.144428,3.9009,0.651818,0.529239
496,APT-A,,,,,,,
497,APTO,,,,0.370571,3.00829,0.956369,0.784859
498,APTS,,,,0.0771519,1.39019,0.319125,0.27328
499,APTV,,,,0.110634,1.79392,0.314022,0.269271
500,APTX,,,,0.291707,3.30348,1.00126,0.766694
501,APVO,,,,0.210959,11.4594,1.27571,0.790136
502,APWC,,,,0.0902599,2.4165,0.576779,0.492144
503,APXT,,,,0.0319726,0.859812,0.185569,0.158251
504,APXTU,,,,0.0265619,0.94658,0.275835,0.183002
505,APXTW,,,,,,,
506,APYX,,,,0.244239,1.58223,0.782837,0.677835
507,AQB,,,,0.314493,14.9388,0.935091,0.739781
508,AQMS,,,,0.22358,2.50363,0.913271,0.855706
509,AQN,,,,0.0796065,1.13288,0.236814,0.210351
510,AQNA,,,,0.0406604,0.926117,0.165239,0.114014
511,AQNB,,,,0.041794,1.2215,0.223452,0.127208
512,AQST,,,,0.346868,2.33347,1.02084,0.894273
513,AQUA,,,,0.193993,1.88482,0.500766,0.396522
